# KSA64 aligned calm (Up to date)
# 1558 data points written for 20 variables.
#
# [FlightDataType.FlightDataType.TYPE_TIME] (s),[FlightDataType.FlightDataType.TYPE_ALTITUDE] (m),[FlightDataType.FlightDataType.TYPE_POSITION_X] (m),[FlightDataType.FlightDataType.TYPE_POSITION_Y] (m),[FlightDataType.FlightDataType.TYPE_POSITION_XY] (m),[FlightDataType.FlightDataType.TYPE_VELOCITY_TOTAL] (m/s),[FlightDataType.FlightDataType.TYPE_ACCELERATION_TOTAL] (m/s²),[FlightDataType.FlightDataType.TYPE_MACH_NUMBER] (​),[FlightDataType.FlightDataType.TYPE_AOA] (rad),[FlightDataType.FlightDataType.TYPE_PITCH_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_YAW_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_MASS] (kg),[FlightDataType.FlightDataType.TYPE_CP_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_CG_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_STABILITY] (​),[FlightDataType.FlightDataType.TYPE_DRAG_COEFF] (​),[FlightDataType.FlightDataType.TYPE_THRUST_FORCE] (N),[FlightDataType.FlightDataType.TYPE_AIR_DENSITY] (kg/m³),[FlightDataType.FlightDataType.TYPE_WIND_VELOCITY] (m/s),[FlightDataType.FlightDataType.TYPE_TIME_STEP] (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.086,0.180408731,-0.000000139,0,0.000000139,5.725340013,97.275109296,0.016820031,0.000000453,0,0,2.569256244,NaN,1.042091099,NaN,1.385691425,275.155933333,1.224978868,0,0.002
0.088,0.192054186,-0.000000144,0,0.000000144,5.920227769,97.612645952,0.017392579,0.000000438,0,0,2.569043425,NaN,1.042035914,NaN,1.379533466,276.004977778,1.224977538,0,0.002
0.09,0.204090092,-0.000000149,0,0.000000149,6.115790594,97.950178354,0.017967111,0.000000424,0,0,2.568830605,NaN,1.04198072,NaN,1.373615253,276.854022222,1.224976164,0,0.002
0.092,0.216517798,-0.000000154,0,0.000000154,6.312028479,98.287706113,0.018543626,0.000000411,0,0,2.568617786,NaN,1.041925517,NaN,1.367920328,277.703066667,1.224974746,0,0.002
0.094,0.229338656,-0.000000159,0,0.000000159,6.508941415,98.625228832,0.019122124,0.000000398,0,0,2.568404967,NaN,1.041870303,NaN,1.36243381,278.552111111,1.224973282,0,0.002
0.096,0.242554014,-0.000000165,0,0.000000165,6.706529391,98.962746113,0.019702606,0.000000387,0,0,2.568192148,NaN,1.041815079,NaN,1.35714221,279.401155556,1.224971773,0,0.002
0.098,0.256165223,-0.00000017,0,0.00000017,6.904792396,99.300257549,0.020285071,0.000000376,0,0,2.567979328,NaN,1.041759846,NaN,1.352033264,280.2502,1.224970219,0,0.002
0.1,0.270173633,-0.000000175,0,0.000000175,7.103730417,99.637762731,0.020869519,0.000000365,0,0,2.567766509,NaN,1.041704603,NaN,1.34709579,281.099244444,1.22496862,0,0.002
0.102,0.284580595,-0.00000018,0,0.00000018,7.303343442,99.975261245,0.021455951,0.000000355,0,0,2.56755369,NaN,1.041649349,NaN,1.34231957,281.948288889,1.224966975,0,0.002
0.104,0.299387457,-0.000000185,0,0.000000185,7.503631457,100.312752672,0.022044366,0.000000346,0,0,2.56734087,NaN,1.041594086,NaN,1.337695242,282.797333333,1.224965285,0,0.002
