time_s,phase,events,east_m,north_m,altitude_m,east_velocity_mps,north_velocity_mps,vertical_velocity_mps,mach,aoa_deg,dynamic_pressure_pa,static_margin_calibers,wind_east_mps,wind_north_mps
47.149296,3,0,0.000000,0.000000,321.242432,0.000032,0.000000,-12.506836,0.00000000,0.00000000,92.892090,0.00000000,0.000000,0.000000
47.449291,3,0,0.000000,0.000000,317.490845,0.000032,0.000000,-12.504581,0.00000000,0.00000000,92.892212,0.00000000,0.000000,0.000000
47.749287,3,0,0.000000,0.000000,313.739990,0.000032,0.000000,-12.502331,0.00000000,0.00000000,92.892212,0.00000000,0.000000,0.000000
48.049282,3,0,0.000000,0.000000,309.989746,0.000032,0.000000,-12.500084,0.00000000,0.00000000,92.892334,0.00000000,0.000000,0.000000
48.349277,3,0,0.000000,0.000000,306.240234,0.000032,0.000000,-12.497831,0.00000000,0.00000000,92.892456,0.00000000,0.000000,0.000000
48.649273,3,0,0.000000,0.000000,302.491333,0.000032,0.000000,-12.495579,0.00000000,0.00000000,92.892456,0.00000000,0.000000,0.000000
48.949268,3,0,0.000000,0.000000,298.743164,0.000032,0.000000,-12.493328,0.00000000,0.00000000,92.892456,0.00000000,0.000000,0.000000
49.249264,3,0,0.000000,0.000000,294.995605,0.000032,0.000000,-12.491083,0.00000000,0.00000000,92.892456,0.00000000,0.000000,0.000000
49.549259,3,0,0.000000,0.000000,291.248657,0.000032,0.000000,-12.488840,0.00000000,0.00000000,92.892578,0.00000000,0.000000,0.000000
49.849255,3,0,0.000000,0.000000,287.502441,0.000032,0.000000,-12.486597,0.00000000,0.00000000,92.892578,0.00000000,0.000000,0.000000
50.149250,3,0,0.000000,0.000000,283.756836,0.000032,0.000000,-12.484360,0.00000000,0.00000000,92.892700,0.00000000,0.000000,0.000000
50.449245,3,0,0.000000,0.000000,280.011963,0.000032,0.000000,-12.482128,0.00000000,0.00000000,92.892822,0.00000000,0.000000,0.000000
50.749241,3,0,0.000000,0.000000,276.267822,0.000032,0.000000,-12.479893,0.00000000,0.00000000,92.892822,0.00000000,0.000000,0.000000
51.049236,3,0,0.000000,0.000000,272.524292,0.000032,0.000000,-12.477652,0.00000000,0.00000000,92.892944,0.00000000,0.000000,0.000000
51.349232,3,0,0.000000,0.000000,268.781494,0.000032,0.000000,-12.475412,0.00000000,0.00000000,92.892944,0.00000000,0.000000,0.000000
51.649227,3,0,0.000000,0.000000,265.039307,0.000032,0.000000,-12.473183,0.00000000,0.00000000,92.892944,0.00000000,0.000000,0.000000
51.949223,3,0,0.000000,0.000000,261.297852,0.000032,0.000000,-12.470951,0.00000000,0.00000000,92.893066,0.00000000,0.000000,0.000000
52.249218,3,0,0.000000,0.000000,257.557007,0.000032,0.000000,-12.468719,0.00000000,0.00000000,92.893066,0.00000000,0.000000,0.000000
52.549213,3,0,0.000000,0.000000,253.816772,0.000032,0.000000,-12.466496,0.00000000,0.00000000,92.893066,0.00000000,0.000000,0.000000
52.849209,3,0,0.000000,0.000000,250.077271,0.000032,0.000000,-12.464275,0.00000000,0.00000000,92.893311,0.00000000,0.000000,0.000000
53.149204,3,0,0.000000,0.000000,246.338379,0.000032,0.000000,-12.462048,0.00000000,0.00000000,92.893799,0.00000000,0.000000,0.000000
